Group	Software	Threads	Dataset	Folder	Algorithm	merge-model	merge-rate	Commandline	Total_execution_time	Peak_memory	Percent_CPU	BIC	N_partitions
MF2vPF2	MF2	8	Fong_2012	MF2_GTRmods_8	greedy	GTR	E,G,I+G	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_GTRmods_8/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_GTRmods_8/partitions.nex -m TESTMERGEONLY -mset GTR -mrate E,G,I+G --merge-model GTR --merge-rate E,G,I+G --merge greedy -nt 8 --seed 123456742"	17:55.06	 929640	 731	559830.6936	1
MF2vPF2	PF2	8	Fong_2012	PF2_GTRmods_8	greedy	GTR	E,G,I+G	Commandline= "python /data/rob/mf2/partitionfinder-2.1.1/PartitionFinder.py /data/rob/mf2/MF2_analyses/Fong_2012/PF2_GTRmods_8/partition_finder.cfg --raxml -p 8"	5:59:11	 1133184	 689	559964.463532	16
MF2_comparisons	MF2	16	Fong_2012	MF2_JC_greedy_E_16	greedy	JC	E	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model JC --merge-rate E --merge greedy -nt 16 --seed 123456742"	13:38.34	 728800	 815	561164.4971	2
MF2_comparisons	MF2	16	Fong_2012	MF2_JC_greedy_InG_16	greedy	JC	I+G	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_InG_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_InG_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model JC --merge-rate I+G --merge greedy -nt 16 --seed 123456742"	39:01.76	 1060176	 449	560095.7495	1
MF2_comparisons	MF2	16	Fong_2012	MF2_JC_greedy_E-G-InG_16	greedy	JC	E,G,I+G	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E-G-InG_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E-G-InG_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model JC --merge-rate E,G,I+G --merge greedy -nt 16 --seed 123456742"	34:54.72	 1125468	 579	559930.9070	2
MF2_comparisons	MF2	16	Fong_2012	MF2_JC_greedy_E-G-I-R-InG-InR_16	greedy	JC	E,G,I,R,I+G,I+R	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E-G-I-R-InG-InR_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_JC_greedy_E-G-I-R-InG-InR_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model JC --merge-rate E,G,I,R,I+G,I+R --merge greedy -nt 16 --seed 123456742"	3:18:31	 1453640	 738	560152.1163	2
MF2_comparisons	MF2	16	Fong_2012	MF2_HKY_greedy_E_16	greedy	HKY	E	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model HKY --merge-rate E --merge greedy -nt 16 --seed 123456742"	14:38.94	 748840	 547	560261.1315	2
MF2_comparisons	MF2	16	Fong_2012	MF2_HKY_greedy_InG_16	greedy	HKY	I+G	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_InG_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_InG_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model HKY --merge-rate I+G --merge greedy -nt 16 --seed 123456742"	22:52.60	 1147092	 622	560027.4625	1
MF2_comparisons	MF2	16	Fong_2012	MF2_HKY_greedy_E-G-InG_16	greedy	HKY	E,G,I+G	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E-G-InG_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E-G-InG_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model HKY --merge-rate E,G,I+G --merge greedy -nt 16 --seed 123456742"	22:26.02	 1212420	 640	560190.9540	1
MF2_comparisons	MF2	16	Fong_2012	MF2_HKY_greedy_E-G-I-R-InG-InR_16	greedy	HKY	E,G,I,R,I+G,I+R	Commandline= "/data/rob/mf2/iqtree-2.1.2-Linux/bin/iqtree2 -s /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E-G-I-R-InG-InR_16/alignment.phy -spp /data/rob/mf2/MF2_analyses/Fong_2012/MF2_HKY_greedy_E-G-I-R-InG-InR_16/partitions.nex -m TESTMERGEONLY -mset ALL -mrate E,G,I,R,I+G,I+R --merge-model HKY --merge-rate E,G,I,R,I+G,I+R --merge greedy -nt 16 --seed 123456742"	3:02:40	 1714640	 714	560021.4875	1
